timestamp (ms), x (G), y (G), z (G)
14996,4.11,2.93,4.11
15017,3.32,1.37,2.93
15038,2.93,3.71,2.93
15059,2.54,4.11,3.32
15080,3.71,4.11,4.89
15101,4.89,0.98,4.89
15122,2.15,0.98,2.54
15143,5.28,1.76,2.93
15164,4.89,2.93,4.50
15185,4.89,2.54,4.89
15206,2.15,2.54,2.54
15227,1.37,3.71,2.54
15248,2.15,2.15,3.32
15269,2.15,0.98,4.11
15290,1.76,2.54,4.89
15311,2.93,3.71,4.89
15332,2.93,3.32,1.76
15353,2.15,0.98,2.93
15374,4.89,0.98,3.71
15395,4.89,1.76,3.71
15416,1.76,4.11,4.50
15440,3.32,1.76,4.50
15461,1.76,0.98,4.11
15482,1.76,2.93,3.32
15503,3.71,0.98,1.76
15524,4.50,1.37,2.54
15545,2.93,3.71,2.54
15566,4.50,3.71,4.11
15587,2.54,3.32,2.15
15608,2.15,1.37,2.15
15629,4.89,3.71,1.76
15650,1.37,2.15,4.50
15671,2.93,2.54,2.15
15692,3.32,2.15,4.50
15713,2.54,2.54,4.50
15734,1.76,1.76,3.32
15755,4.11,2.15,4.50
15776,2.15,1.37,4.50
15797,3.71,2.15,2.54
15818,4.11,2.93,2.93
15840,2.93,0.98,4.50
15861,2.15,3.71,2.15
15882,2.15,0.98,2.15
15903,4.89,0.98,2.93
15926,3.32,3.71,1.76
15947,4.50,1.37,2.54
15968,2.15,1.37,4.89
15989,4.50,3.32,4.50
16010,3.71,2.54,4.11
16031,1.76,3.71,2.54
16052,4.89,0.98,4.50
16073,4.50,1.37,3.71
16094,2.93,3.71,4.50
16115,2.15,0.98,4.50
16136,4.89,0.98,4.89
16157,2.93,3.71,4.11
16179,1.76,1.37,2.15
16200,1.76,0.98,4.89
16221,3.71,0.98,3.71
16242,5.67,0.59,3.71
16263,1.76,3.71,4.89
16284,2.15,1.37,4.11
16305,4.50,3.32,2.15
16326,2.15,3.71,4.11
16347,4.50,2.54,4.50
16368,4.11,3.71,2.93
16389,4.50,0.59,3.32
16412,2.54,3.71,4.11
16433,1.76,2.54,4.11
16454,2.54,3.32,3.32
16475,4.89,0.98,2.15
16496,2.93,3.71,2.93
16517,2.54,2.15,2.15
16538,1.37,3.71,2.54
16560,3.32,2.93,2.15
16581,2.93,1.37,2.54
16602,3.32,4.11,2.54
16623,2.15,2.54,2.54
16644,2.15,3.71,3.32
16665,4.11,0.59,3.71
16686,4.50,3.71,3.71
16707,1.76,1.76,2.15
16728,4.89,0.98,2.15
16749,4.50,3.32,4.50
16770,4.50,0.98,3.71
16791,4.11,1.37,1.76
16812,1.76,0.59,2.15
16833,4.89,1.37,2.15
16854,2.54,1.76,4.50
16875,2.93,2.54,3.32
16898,3.32,0.98,2.15
16919,4.89,2.93,4.11
16940,1.76,3.32,2.54
16962,2.15,3.71,3.71
16983,1.76,3.71,2.54
17004,2.54,3.71,2.54
17025,4.89,2.54,2.15
17046,3.32,1.37,4.11
17067,1.76,3.32,3.32
17088,3.71,0.98,4.11
17109,4.11,2.54,4.11
17130,4.89,0.98,1.76
17151,1.37,4.11,3.71
17172,1.37,2.54,4.11
17193,4.50,1.76,4.11
17214,2.15,1.37,2.54
17235,2.93,1.76,2.15
17256,2.15,2.93,4.11
17277,4.11,1.37,1.76
17298,1.76,3.71,2.93
17319,3.32,2.15,1.76
17340,2.54,1.37,3.71
17361,2.54,1.76,4.89
17382,3.32,2.15,4.50
17406,4.89,4.11,4.11
17427,3.32,2.93,1.76
17448,1.76,2.15,4.11
17469,3.71,1.37,1.76
17490,4.89,0.98,4.50
17511,3.71,2.15,4.89
17532,4.50,3.71,4.50
